t_s,ref,angulo,error,bias,d,epsilon,u,Timestamp_Python
0.0,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.8813
0.01,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.8913
0.02,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.9014
0.031,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.9119
0.041,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.9221
0.051,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.9321
0.061,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747968.9423
0.072,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747968.9526
0.082,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747968.9631
0.092,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747968.9732
0.103,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.9837
0.113,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747968.9941
0.124,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0046
0.134,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0148
0.144,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.025
0.154,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0353
0.165,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.046
0.175,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0562
0.185,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0662
0.196,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0767
0.206,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0873
0.217,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.0978
0.227,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.108
0.238,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.1187
0.248,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.1293
0.259,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.1398
0.269,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.1504
0.28,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.161
0.29,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.1715
0.301,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747969.1818
0.311,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.1923
0.322,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2029
0.332,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2133
0.342,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2232
0.352,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2336
0.363,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2438
0.373,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2543
0.384,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2649
0.394,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2749
0.404,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2851
0.414,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.2954
0.425,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3057
0.435,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3163
0.445,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3264
0.456,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3369
0.466,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3475
0.477,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3576
0.487,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3678
0.497,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3782
0.507,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3885
0.517,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.3983
0.528,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.4092
